<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,094500,93894.0000000,93908.0000000,93799.0000000,93897.0000000,5180
SPFB.Si-9.23,1,20230912,094600,93898.0000000,93946.0000000,93803.0000000,93825.0000000,4273
SPFB.Si-9.23,1,20230912,094700,93825.0000000,93978.0000000,93744.0000000,93965.0000000,6955
SPFB.Si-9.23,1,20230912,094800,93965.0000000,94074.0000000,93953.0000000,93996.0000000,4667
SPFB.Si-9.23,1,20230912,094900,93999.0000000,94002.0000000,93903.0000000,93945.0000000,3437
SPFB.Si-9.23,1,20230912,095000,93947.0000000,94050.0000000,93944.0000000,94032.0000000,2771
SPFB.Si-9.23,1,20230912,095100,94034.0000000,94137.0000000,94034.0000000,94125.0000000,3930
SPFB.Si-9.23,1,20230912,095200,94118.0000000,94138.0000000,94026.0000000,94042.0000000,4582
SPFB.Si-9.23,1,20230912,095300,94033.0000000,94036.0000000,94004.0000000,94010.0000000,1897
SPFB.Si-9.23,1,20230912,095400,94010.0000000,94020.0000000,93976.0000000,93978.0000000,1049
SPFB.Si-9.23,1,20230912,095500,93978.0000000,93983.0000000,93851.0000000,93880.0000000,3472
SPFB.Si-9.23,1,20230912,095600,93883.0000000,93967.0000000,93865.0000000,93920.0000000,3967
SPFB.Si-9.23,1,20230912,095700,93919.0000000,93960.0000000,93911.0000000,93939.0000000,1336
SPFB.Si-9.23,1,20230912,095800,93938.0000000,94055.0000000,93911.0000000,93979.0000000,3248
SPFB.Si-9.23,1,20230912,095900,93979.0000000,94032.0000000,93956.0000000,94021.0000000,975
SPFB.Si-9.23,1,20230912,100000,94021.0000000,94207.0000000,93979.0000000,94186.0000000,5852
SPFB.Si-9.23,1,20230912,100100,94188.0000000,94223.0000000,94183.0000000,94215.0000000,2783
SPFB.Si-9.23,1,20230912,100200,94215.0000000,94326.0000000,94210.0000000,94317.0000000,3495
SPFB.Si-9.23,1,20230912,100300,94318.0000000,94364.0000000,94308.0000000,94338.0000000,7710
SPFB.Si-9.23,1,20230912,100400,94339.0000000,94360.0000000,94330.0000000,94356.0000000,5130
SPFB.Si-9.23,1,20230912,100500,94356.0000000,94412.0000000,94230.0000000,94314.0000000,15857
SPFB.Si-9.23,1,20230912,100600,94314.0000000,94322.0000000,94217.0000000,94283.0000000,4444
SPFB.Si-9.23,1,20230912,100700,94283.0000000,94297.0000000,94248.0000000,94276.0000000,1435
SPFB.Si-9.23,1,20230912,100800,94276.0000000,94495.0000000,94274.0000000,94493.0000000,8917
SPFB.Si-9.23,1,20230912,100900,94485.0000000,94545.0000000,94484.0000000,94536.0000000,6445
SPFB.Si-9.23,1,20230912,101000,94541.0000000,94624.0000000,94535.0000000,94545.0000000,8205
SPFB.Si-9.23,1,20230912,101100,94549.0000000,94590.0000000,94420.0000000,94535.0000000,10657
SPFB.Si-9.23,1,20230912,101200,94535.0000000,94599.0000000,94440.0000000,94503.0000000,4802
SPFB.Si-9.23,1,20230912,101300,94502.0000000,94521.0000000,94483.0000000,94506.0000000,1733
SPFB.Si-9.23,1,20230912,101400,94505.0000000,94505.0000000,94458.0000000,94461.0000000,2927
SPFB.Si-9.23,1,20230912,101500,94463.0000000,94484.0000000,94460.0000000,94462.0000000,1924
SPFB.Si-9.23,1,20230912,101600,94463.0000000,94500.0000000,94406.0000000,94431.0000000,9444
SPFB.Si-9.23,1,20230912,101700,94432.0000000,94463.0000000,94405.0000000,94443.0000000,1529
SPFB.Si-9.23,1,20230912,101800,94443.0000000,94496.0000000,94433.0000000,94467.0000000,1989
SPFB.Si-9.23,1,20230912,101900,94468.0000000,94485.0000000,94452.0000000,94474.0000000,1439
SPFB.Si-9.23,1,20230912,102000,94474.0000000,94517.0000000,94461.0000000,94496.0000000,3954
SPFB.Si-9.23,1,20230912,102100,94495.0000000,94495.0000000,94427.0000000,94473.0000000,2715
SPFB.Si-9.23,1,20230912,102200,94476.0000000,94517.0000000,94474.0000000,94506.0000000,1626
SPFB.Si-9.23,1,20230912,102300,94506.0000000,94517.0000000,94443.0000000,94474.0000000,2806
SPFB.Si-9.23,1,20230912,102400,94468.0000000,94484.0000000,94465.0000000,94479.0000000,884
SPFB.Si-9.23,1,20230912,102500,94480.0000000,94486.0000000,94457.0000000,94470.0000000,879
SPFB.Si-9.23,1,20230912,102600,94468.0000000,94469.0000000,94428.0000000,94428.0000000,1688
SPFB.Si-9.23,1,20230912,102700,94426.0000000,94428.0000000,94357.0000000,94427.0000000,3118
SPFB.Si-9.23,1,20230912,102800,94424.0000000,94461.0000000,94416.0000000,94452.0000000,1873
SPFB.Si-9.23,1,20230912,102900,94452.0000000,94486.0000000,94451.0000000,94476.0000000,4536
SPFB.Si-9.23,1,20230912,103000,94473.0000000,94512.0000000,94464.0000000,94511.0000000,5878
SPFB.Si-9.23,1,20230912,103100,94508.0000000,94520.0000000,94484.0000000,94501.0000000,2058
SPFB.Si-9.23,1,20230912,103200,94501.0000000,94519.0000000,94477.0000000,94515.0000000,1493
SPFB.Si-9.23,1,20230912,103300,94512.0000000,94550.0000000,94478.0000000,94543.0000000,2430
SPFB.Si-9.23,1,20230912,103400,94537.0000000,94568.0000000,94483.0000000,94540.0000000,4233
SPFB.Si-9.23,1,20230912,103500,94543.0000000,94591.0000000,94534.0000000,94569.0000000,3422
SPFB.Si-9.23,1,20230912,103600,94570.0000000,94634.0000000,94570.0000000,94618.0000000,6347
SPFB.Si-9.23,1,20230912,103700,94615.0000000,94674.0000000,94598.0000000,94598.0000000,7952
SPFB.Si-9.23,1,20230912,103800,94598.0000000,94787.0000000,94533.0000000,94787.0000000,10878
